2D Navier Stokes Equation Using Finite Volume Method
GRID Size:	 32 	 X 32 
Time Step for the simulation: 0.010986
Reynolds number of the simulation:100.000000
Iteration no:	221	 Ures: 	6.2630256024e-04	 Vres: 	5.3782499950e-04	 
Iteration no:	222	 Ures: 	6.2268651171e-04	 Vres: 	5.3480247766e-04	 
Iteration no:	223	 Ures: 	6.1911045378e-04	 Vres: 	5.3184696236e-04	 
Iteration no:	224	 Ures: 	6.1558478103e-04	 Vres: 	5.2893741227e-04	 
Iteration no:	225	 Ures: 	6.1211750231e-04	 Vres: 	5.2605246360e-04	 
Iteration no:	226	 Ures: 	6.0871428427e-04	 Vres: 	5.2317157385e-04	 
Iteration no:	227	 Ures: 	6.0537481125e-04	 Vres: 	5.2028117530e-04	 
Iteration no:	228	 Ures: 	6.0209487446e-04	 Vres: 	5.1737559628e-04	 
Iteration no:	229	 Ures: 	5.9886501717e-04	 Vres: 	5.1445998013e-04	 
Iteration no:	230	 Ures: 	5.9567309451e-04	 Vres: 	5.1154701457e-04	 
Iteration no:	231	 Ures: 	5.9250353220e-04	 Vres: 	5.0865466095e-04	 
Iteration no:	232	 Ures: 	5.8933977236e-04	 Vres: 	5.0579991779e-04	 
Iteration no:	233	 Ures: 	5.8616453641e-04	 Vres: 	5.0299566269e-04	 
Iteration no:	234	 Ures: 	5.8296296174e-04	 Vres: 	5.0024683092e-04	 
Iteration no:	235	 Ures: 	5.7972386614e-04	 Vres: 	4.9755072481e-04	 
Iteration no:	236	 Ures: 	5.7644238522e-04	 Vres: 	4.9489730508e-04	 
Iteration no:	237	 Ures: 	5.7311999942e-04	 Vres: 	4.9227213403e-04	 
Iteration no:	238	 Ures: 	5.6976456368e-04	 Vres: 	4.8965838117e-04	 
Iteration no:	239	 Ures: 	5.6638804842e-04	 Vres: 	4.8703995816e-04	 
Iteration no:	240	 Ures: 	5.6300461913e-04	 Vres: 	4.8440344638e-04	 
Iteration no:	241	 Ures: 	5.5962797411e-04	 Vres: 	4.8174041645e-04	 
Iteration no:	242	 Ures: 	5.5626980175e-04	 Vres: 	4.7904844260e-04	 
Iteration no:	243	 Ures: 	5.5293847310e-04	 Vres: 	4.7633165089e-04	 
Iteration no:	244	 Ures: 	5.4963876963e-04	 Vres: 	4.7359971930e-04	 
Iteration no:	245	 Ures: 	5.4637199814e-04	 Vres: 	4.7086604896e-04	 
Iteration no:	246	 Ures: 	5.4313673275e-04	 Vres: 	4.6814512584e-04	 
Iteration no:	247	 Ures: 	5.3992995686e-04	 Vres: 	4.6544991254e-04	 
Iteration no:	248	 Ures: 	5.3674835759e-04	 Vres: 	4.6278984214e-04	 
Iteration no:	249	 Ures: 	5.3358971563e-04	 Vres: 	4.6016961067e-04	 
